year,giin_id,kanji,kana,party,election_area
rl023,r00125,寺島隆太郎,てらしまりゅうたろう,民主党,千葉2区
rl023,r00438,寺本斉,てらもといつき,民主党,熊本1区
rl023,r00328,東井三代次,とういみよつぐ,無所属,奈良全県区
rl023,r00089,戸叶里子,とかのさとこ,日本社会党,栃木1区
rl023,r00142,徳田球一,とくだきゅういち,日本共産党,東京3区
rl023,r00131,野老誠,ところまこと,無所属,千葉3区
rl023,r00029,外崎千代吉,とのさきちょきち,社会革新党,青森2区
rl023,r00025,苫米地義三,とまべちぎぞう,民主党,青森1区
rl023,r00001,苫米地英俊,とまべちひでとし,日本自由党,北海道1区
rl023,r00129,富田照,とみたてらす,日本自由党,千葉3区
rl023,r00010,富永格五郎,とみながかくごろう,日本自由党,北海道3区
rl023,r00461,富吉栄二,とみよしえいじ,日本社会党,鹿児島2区
rl023,r00384,豊沢豊雄,とよさわとよお,国民協同党,香川2区
rl023,r00164,土井直作,どいなおさく,日本社会党,神奈川2区
rl023,r00191,内藤友明,ないとうともあき,国民協同党,富山2区
rl023,r00021,永井勝次郎,ながいかつじろう,日本社会党,北海道5区
rl023,r00126,仲内憲治,なかうちけんじ,日本自由党,千葉2区
rl023,r00309,永江一夫,ながえかずお,日本社会党,兵庫1区
rl023,r00417,長尾達生,ながおたつお,民主党,福岡4区
rl023,r00257,中垣国男,なかがきくにお,民主党,愛知4区
rl023,r00341,中崎敏,なかざきとし,日本社会党,島根全県区
rl023,r00403,中島茂喜,なかしましげき,民主党,福岡1区
rl023,r00375,中島勝一,なかじまかついち,民主党,山口2区
rl023,r00154,中島守利,なかじまもりとし,日本自由党,東京6区
rl023,r00103,中曽根康弘,なかそねやすひろ,民主党,群馬3区
rl023,r00258,中野四郎,なかのしろう,日本農民党,愛知4区
rl023,r00285,中野武雄,なかのたけお,日本自由党,京都2区
rl023,r00067,中野寅吉,なかのとらきち,日本自由党,福島2区
rl023,r00276,長野重右衛門,ながのしげえもん,民主党,滋賀全県区
rl023,r00400,長野長広,ながのながひろ,民主党,高知全県区
rl023,r00351,中原健次,なかはらけんじ,日本社会党,岡山2区
rl023,r00459,中村嘉寿,なかむらかじゅ,民主党,鹿児島1区
rl023,r00312,中村俊夫,なかむらとしお,民主党,兵庫2区
rl023,r00402,中村寅太,なかむらとらた,福岡県農村青年連盟,福岡1区
rl023,r00420,中村又一,なかむらまたいち,民主党,佐賀全県区
rl023,r00327,中村元治郎,なかむらもとじろう,日本農民党,奈良全県区
rl023,r00295,中山マサ,なかやままさ,日本自由党,大阪2区
rl023,r00026,夏堀源三郎,なつぼりげんざぶろう,日本自由党,青森1区
rl023,r00157,並木芳雄,なみきよしお,民主党,東京7区
rl023,r00418,成重光真,なりしげみつま,日本社会党,福岡4区
rl023,r00382,成田知巳,なりたともみ,日本社会党,香川1区
rl023,r00120,成島憲子,なるしまのりこ,民主党,千葉1区
rl023,r00377,成瀬喜五郎,なるせきごろう,日本社会党,徳島全県区
rl023,r00292,西尾末広,にしおすえひろ,日本社会党,大阪2区
rl023,r00406,西田隆男,にしだたかお,民主党,福岡2区
rl023,r00305,西村栄一,にしむらえいいち,日本社会党,大阪5区
rl023,r00433,西村久之,にしむらひさゆき,日本自由党,長崎2区
rl023,r00348,西山富佐太,にしやまふさた,民主党,岡山1区
rl023,r00053,根本竜太郎,ねもとりゅうたろう,秋田県民主党,秋田2区
rl023,r00447,野上健次,のがみけんじ,日本社会党,大分1区
rl023,r00136,野坂参三,のさかさんぞう,日本共産党,東京1区
rl023,r00030,野原正勝,のはらまさかつ,日本自由党,岩手1区
rl023,r00215,野溝勝,のみぞまさる,日本社会党,長野3区
rl023,r00102,野本品吉,のもとしなきち,国民協同党,群馬2区
rl023,r00170,萩原寿雄,はぎわらとしお,国民協同党,神奈川3区
rl023,r00249,橋本金一,はしもときんいち,民主党,愛知1区
rl023,r00227,長谷川俊一,はせがわしゅんいち,民主党,岐阜2区
rl023,r00200,長谷川政友,はせがわまさとも,民主党,福井全県区
rl023,r00245,服部崎市,はっとりさきいち,民主党,愛知1区
rl023,r00075,葉梨新五郎,はなししんごろう,日本自由党,茨城1区
rl023,r00143,花村四郎,はなむらしろう,日本自由党,東京4区
rl023,r00335,早川崇,はやかわたかし,国民協同党,和歌山2区
rl023,r00397,林譲治,はやしじょうじ,日本自由党,高知全県区
rl023,r00263,林大作,はやしだいさく,日本社会党,愛知5区
rl023,r00218,林百郎,はやしひゃくろう,日本共産党,長野3区
rl023,r00069,林平馬,はやしへいま,民主党,福島2区
rl023,r00151,林連,はやしれん,民主党,東京6区
rl023,r00231,原栄作,はらえいさく,日本自由党,静岡1区
rl023,r00310,原健三郎,はらけんざぶろう,民主党,兵庫2区
rl023,r00065,原孝吉,はらこうきち,民主党,福島1区
rl023,r00363,原侑,はらすすむ,日本自由党,広島3区
rl023,r00085,原彪,はらたけし,民主党,茨城3区
rl023,r00135,原彪之助,はらひょうのすけ,日本社会党,東京1区
rl023,r00299,原田憲,はらだけん,日本自由党,大阪3区
rl023,r00119,馬場秀夫,ばばひでお,日本社会党,埼玉4区
rl023,r00009,坂東幸太郎,ばんどうこうたろう,日本自由党,北海道2区
rl023,r00208,樋貝詮三,ひがいせんぞう,日本自由党,山梨全県区
rl023,r00288,一松定吉,ひとつまつさだよし,民主党,大阪1区
rl023,r00043,日野吉夫,ひのよしお,日本社会党,宮城2区
rl023,r00419,平井義一,ひらいぎいち,日本自由党,福岡4区
rl023,r00111,平岡良蔵,ひらおかりょうぞう,日本自由党,埼玉2区
rl023,r00470,平川篤雄,ひらかわあつお,国民協同党,広島3区　※補選
rl023,r00222,平工喜市,ひらくきいち,日本社会党,岐阜1区
rl023,r00047,平沢長吉,ひらさわちょうきち,秋田県民主党,秋田1区
rl023,r00306,平島良一,ひらしまよしかず,日本自由党,大阪5区
rl023,r00204,平野力三,ひらのりきぞう,日本社会党,山梨全県区
rl023,r00141,広川弘禅,ひろかわこうぜん,日本自由党,東京3区
rl023,r00251,深津玉一郎,ふかつたまいちろう,日本自由党,愛知2区
rl023,r00385,福田繁芳,ふくだしげよし,民主党,香川2区
rl023,r00405,福田昌子,ふくだまさこ,日本社会党,福岡1区
rl023,r00443,福永一臣,ふくながかずおみ,日本自由党,熊本2区
rl023,r00356,藤田栄,ふじたさかえ,日本社会党,広島1区
rl023,r00432,藤原繁太郎,ふじわらしげたろう,日本社会党,長崎2区
rl023,r00410,淵上房太郎,ふちがみふさたろう,日本自由党,福岡2区
rl023,r00468,舟崎由之,ふなざきよしゆき,民主党,新潟1区　※補選
rl023,r00090,船田享二,ふなだきょうじ,国民協同党,栃木1区
rl023,r00117,古島義英,ふるしまよしひで,日本自由党,埼玉4区
rl023,r00221,降旗徳弥,ふるはたとくや,民主党,長野4区
rl023,r00350,星島二郎,ほししまじろう,日本自由党,岡山2区
rl023,r00441,細川隆元,ほそかわたかもと,日本社会党,熊本2区
rl023,r00294,細川八十八,ほそかわやそはち,民主党,大阪2区
rl023,r00316,細田忠治郎,ほそだちゅうじろう,民主党,兵庫3区
rl023,r00050,細野三千雄,ほそのみちお,日本社会党,秋田1区
rl023,r00338,堀江実蔵,ほりえじつぞう,鳥取県農民総同盟,鳥取全県区
rl023,r00320,堀川恭平,ほりかわきょうへい,民主党,兵庫4区
rl023,r00425,本多市郎,ほんだいちろう,日本自由党,長崎1区
rl023,r00427,本田英作,ほんだえいさく,日本自由党,長崎1区
rl023,r00211,本藤恒松,ほんどうつねまつ,日本社会党,長野1区
rl023,r00039,本間俊一,ほんましゅんいち,民主党,宮城1区
rl023,r00464,前田郁,まえだいく,無所属,鹿児島3区
rl023,r00359,前田栄之助,まえだえいのすけ,日本社会党,広島2区
rl023,r00293,前田種男,まえだたねお,日本社会党,大阪2区
rl023,r00329,前田正男,まえだまさお,無所属,奈良全県区
rl023,r00003,正木清,まさききよし,日本社会党,北海道1区
rl023,r00220,増田甲子七,ますだかねしち,日本自由党,長野4区
rl023,r00198,益谷秀次,ますたにしゅうじ,日本自由党,石川2区
rl023,r00100,松井豊吉,まついとよきち,民主党,群馬2区
rl023,r00017,松浦栄,まつうらさかえ,日本自由党,北海道4区
rl023,r00057,松浦東介,まつうらとうすけ,日本自由党,山形1区
rl023,r00160,松尾トシ子,まつおとしこ,日本社会党,神奈川1区
rl023,r00137,松岡駒吉,まつおかこまきち,日本社会党,東京2区
rl023,r00467,松木弘,まつきひろし,日本自由党,新潟1区　※補選
rl023,r00116,松崎朝治,まつざきあさじ,日本自由党,埼玉3区
rl023,r00307,松沢兼人,まつざわけんじん,日本社会党,兵庫1区
rl023,r00206,松沢一,まつざわはじめ,日本社会党,山梨全県区
rl023,r00267,松田正一,まつだしょういち,民主党,三重1区
rl023,r00155,松谷天光光,まつたにてんこうこう,日本社会党,東京7区
